museum_id,Region,Museum,City,URL,description,street,postcode,Latitude,Longitude,website,main category,secondary category,adult_ticket_price,museumkaart_price
20,Groningen,Visserijmuseum Zoutkamp,Zoutkamp,https://whichmuseum.com/museum/visserijmuseum-zoutkamp-20,"Visserijmuseum Zoutkamp is housed in a monumental storage for sea marks in the old inner harbor. The museum illustrates the history and development of fishery in Zoutkamp. In the museum the fishing vessel ‘Tön 2’ is on display, which illustrates how people used to fish in the 60s and 70s. The permanent exhibition includes fishing gear, ship models, engines, tools, transmitters and a replicated bridge of a ship. In front of the museum are two museum ships that can also be visited.",Reitdiepskade 11,9974 PJ,,,http://www.visserijmuseum.com/,History & Anthropology,,5.00,0.00
1092,Gelderland,Villa Mondrian,Winterswijk,https://whichmuseum.com/museum/villa-mondrian-winterswijk-1092,Villa Mondrian is a museum in Winterswijk in the Netherlands.,Zonnebrink 4,7101 NC,,,https://villamondriaan.nl/,Art & Design,,12.00,0.00
262,Gelderland,Museum Nairac,Barneveld,https://whichmuseum.com/museum/museum-nairac-barneveld-262,"Veluws Museum Nairac is housed in the 17th century building ‘De Brouwerij’. The museum is named after former mayor Carel August Nairac, who founded it in 1875. Most objects in the museum are collected by Nairac. The collection consists mainly of objects related to archaeology and the cultural heritage of the Veluwe, including stone axes, decorated cups and jewellery made of glass and bronze.",Brouwerstraat 1,3771 HA,,,http://nairac.nl/,History & Anthropology,Art & Design,7.50,0.00
290,Groningen,University Museum Groningen,Groningen,https://whichmuseum.com/museum/university-museum-groningen-290,"University Museum Groningen is a museum dedicated to people, nature and science. The collection consists of objects related to nature, culture and science. The exhibitions of the museum include a collection of flowers and seeds, an anatomical and pathological collection, a psychological collection, an anthropological collection and objects related to Aletta Jacobs' s, the first Dutch female doctor.",Oude Kijk in 't Jatstraat 7a,9712 EA,,,http://www.rug.nl/society-business/university-museum/,Science & Technology,Nature & Natural History,7.50,0.00
16,Gelderland,Voerman Museum Hattem,Hattem,https://whichmuseum.com/museum/voerman-museum-hattem-16,"The Voerman Museum Hattem is museum that displays objects related to Hattem. Part of the collection consists of works by Dutch painters Jan Voerman junior and senior, but the museum also features works by Jo Koster, Gerhard Mensink and Bé Thoden van Velzen. In addition, the museum illustrates the history of Hattem by displaying archaeological finds and old costumes.",Achterstraat 46-48,8051 GC,,,http://www.voermanmuseumhattem.nl/,Art & Design,History & Anthropology,6.50,0.00
166,Groningen,Veenkoloniaal Museum Veendam,Veendam,https://whichmuseum.com/museum/veenkoloniaal-museum-veendam-166,"The Veenkoloniaal Museum is a cultural history museum dedicated to the Groningen ‘Veenkoloniën’. The museum covers East Groningen, peat growth and the ‘Bourtanger Moor’. The permanent collection consists of two subcollections: a maritime collection and a collection with objects related to the agricultural industry. The maritime collection focusses on the heyday of the ‘Veenkoloniale Zeevaart‘ around the 19th century. The agricultural industry collection mainly focusses on the industries that were connected to the ‘veenkoloniën’, such as potato flour and cardboard factories.",Museumplein 5,9641 AD,,,http://www.veenkoloniaalmuseum.nl/,History & Anthropology,,7.50,0.00
73,Gelderland,The Valkhof Museum,Nijmegen,https://whichmuseum.com/museum/the-valkhof-museum-nijmegen-73,"The Valkhof Museum has a varied collection that consists of archaeological finds, old art and modern art. The collection of artefacts from Nijmegen and surroundings consists of objects from the Stone Age and later periods that illustrate the life in the region over the centuries. The largest part of the collection consists of objects related to Roman archaeology. The collection of old art and crafts covers a period from the Middle Ages to the early 20th century, with topics related to Nijmegen. The modern art collection consists primarily of works by Dutch artists, including a large collection of Dutch Pop Art.",Kelfkensbos 59,6511 TB,,,https://www.museumhetvalkhof.nl/,History & Anthropology,Art & Design,5.50,0.00
388,Friesland,Titus Brandsma Museum,Bolsward,https://whichmuseum.com/museum/titus-brandsma-museum-bolsward-388,"The Titus Brandsma Museum is dedicated to the life of the Dutch carmelite priest, professor and writer Titus Brandsma. The blessed Titus Brandsma spoke openly in WWII against the Nazis and died in the Dachau concentration camp. The collection of the museum consists of his personal objects that illustrate the story of his life.",Grote Dijlakker 11,8701 KV,,,http://titusbrandsmamuseum.nl/,Specialized & Alternative,History & Anthropology,2.00,0.00
192,Limburg,Thermenmuseum,Heerlen,https://whichmuseum.com/museum/thermenmuseum-heerlen-192,"The Thermenmuseum is located around the excavations of a Roman public bath from 100 AD. It is the best preserved and largest ancient building in the Netherlands. The heritage of Coriovallum is displayed, which was the Roman predecessor of the current city of Heerlen. In addition to the two thousand year old baths, the museum exhibits a varied collection of artefacts from Roman times from Coriovallum.",Coriovallumstraat 9,6411 CA,,,http://www.thermenmuseum.nl/,History & Anthropology,,6.75,0.00
57,Friesland,Museum Sloten,Sloten,https://whichmuseum.com/museum/museum-sloten-57,"The Stêdhûs Sleat museum is housed in the former town hall of Sloten from 1759. The museum illustrates the history of Sloten by displaying various objects that related to its history. Unique is the magic lantern collection, exhibited in the attic. Children can discover the magic of the magic lantern there. The museum also organizes temporary exhibitions that are related to the history of Sloten or the magic lanterns.",Heerenwal 48,8556 XW,,,https://www.museumsloten.nl/,History & Anthropology,,3.25,0.00
