museum_id,Region,Museum,City,URL
79,Drenthe,Drents Museum,Assen,https://whichmuseum.com/museum/drents-museum-assen-79
141,Drenthe,Hunebedcentrum,Borger,https://whichmuseum.com/museum/hunebedcentrum-borger-141
179,Drenthe,City Museum Coevorden,Coevorden,https://whichmuseum.com/museum/city-museum-coevorden-179
24,Drenthe,Museum De Buitenplaats,Eelde,https://whichmuseum.com/museum/museum-de-buitenplaats-eelde-24
254,Drenthe,Internationaal Klompenmuseum,Eelde,https://whichmuseum.com/museum/internationaal-klompenmuseum-eelde-254
7911,Drenthe,Museum De Proefkolonie,Frederiksoord,https://whichmuseum.com/museum/museum-de-proefkolonie-frederiksoord-7911
55,Drenthe,Drukkerijmuseum Meppel,Meppel,https://whichmuseum.com/museum/drukkerijmuseum-meppel-55
7986,Drenthe,Stedelijk Museum Meppel,Meppel,https://whichmuseum.com/museum/stedelijk-museum-meppel-7986
557,Drenthe,Collectie Brands,Nieuw-Dordrecht,https://whichmuseum.com/museum/collectie-brands-nieuw-dordrecht-557
233,Drenthe,Kinderwereld Speelgoedmuseum,Roden,https://whichmuseum.com/museum/kinderwereld-speelgoedmuseum-roden-233
1194,Drenthe,Museum Havezate Mensinge,Roden,https://whichmuseum.com/museum/museum-havezate-mensinge-roden-1194
154,Drenthe,Het Gevangenismuseum,Veenhuizen,https://whichmuseum.com/museum/het-gevangenismuseum-veenhuizen-154
435,Drenthe,Miramar Zeemuseum,Vledder,https://whichmuseum.com/museum/miramar-zeemuseum-vledder-435
427,Drenthe,Cultuurhistorisch streek- en handkarrenmuseum De Wemme,Zuidwolde,https://whichmuseum.com/museum/cultuurhistorisch-streek-en-handkarrenmuseum-de-wemme-zuidwolde-427
97,Flevoland,Aviodrome,Lelystad,https://whichmuseum.com/museum/aviodrome-lelystad-97
588,Flevoland,Batavialand,Lelystad,https://whichmuseum.com/museum/batavialand-lelystad-588
338,Flevoland,Museum Schokland,Schokland,https://whichmuseum.com/museum/museum-schokland-338
25,Flevoland,Museum Het Oude Raadhuis,Urk,https://whichmuseum.com/museum/museum-het-oude-raadhuis-urk-25
388,Friesland,Titus Brandsma Museum,Bolsward,https://whichmuseum.com/museum/titus-brandsma-museum-bolsward-388
1175,Friesland,IJstijdenmuseum,Buitenpost,https://whichmuseum.com/museum/ijstijdenmuseum-buitenpost-1175
404,Friesland,Botanical Garden De Kruidhof,Buitenpost,https://whichmuseum.com/museum/botanical-garden-de-kruidhof-buitenpost-404
319,Friesland,Landbouw en juttersmuseum Swartwoude,Buren (Ameland),https://whichmuseum.com/museum/landbouw-en-juttersmuseum-swartwoude-buren-ameland-319
552,Friesland,Observeum,Burgum,https://whichmuseum.com/museum/observeum-burgum-552
389,Friesland,Museum Dokkum,Dokkum,https://whichmuseum.com/museum/museum-dokkum-389
464,Friesland,Museum Drachten,Drachten,https://whichmuseum.com/museum/museum-drachten-464
369,Friesland,Museum Martena,Franeker,https://whichmuseum.com/museum/museum-martena-franeker-369
8014,Friesland,Keatsmuseum,Franeker,https://whichmuseum.com/museum/keatsmuseum-franeker-8014
184,Friesland,Museum Opsterlân,Gorredijk,https://whichmuseum.com/museum/museum-opsterlan-gorredijk-184
643,Friesland,Openluchtmuseum De Spitkeet,Harkema,https://whichmuseum.com/museum/openluchtmuseum-de-spitkeet-harkema-643
477,Friesland,Hannemahuis,Harlingen,https://whichmuseum.com/museum/hannemahuis-harlingen-477
168,Friesland,Museum Heerenveen,Heerenveen,https://whichmuseum.com/museum/museum-heerenveen-168
1168,Friesland,Ferdinand Domela Nieuwenhuis Museum,Heerenveen,https://whichmuseum.com/museum/ferdinand-domela-nieuwenhuis-museum-heerenveen-1168
103,Friesland,Museum Hindeloopen,Hindeloopen,https://whichmuseum.com/museum/museum-hindeloopen-103
1255,Friesland,Reddingsmuseum Abraham Fock,Hollum,https://whichmuseum.com/museum/reddingsmuseum-abraham-fock-hollum-1255
299,Friesland,Cultuurhistorisch Museum Sorgdrager,Hollum,https://whichmuseum.com/museum/cultuurhistorisch-museum-sorgdrager-hollum-299
30,Friesland,Museum Joure,Joure,https://whichmuseum.com/museum/museum-joure-30
